Diciembre
1,0,26.11,48,9
1,1,21.23,56,67
1,2,27,44,47
1,3,38,72,44
1,4,0,61,62 
1,5,36,61,8 
1,6,-1,88,10
1,7,2,46,59 
1,8,7,2,70  
1,9,-4,59,47
1,10,29,41,9
1,11,33,75,0
1,12,28,26,96
1,13,17,46,4
1,14,17,19,66
1,15,16,45,85
1,16,34,60,9
1,17,24,22,91
1,18,20,97,81
1,19,31,53,8
1,20,-1,79,61
1,21,2,99,34
1,22,13,88,68
1,23,17,27,31
2,0,37,94,80
2,1,4,60,71
2,2,26,20,69
2,3,35,80,72
2,4,3,56,36
2,5,10,11,74
2,6,27,76,11
2,7,9,23,31
2,8,5,19,96
2,9,24,4,71
2,10,3,89,42
2,11,20,85,88
2,12,28,35,59
2,13,27,9,28
2,14,2,16,70
2,15,31,28,68
2,16,39,57,87
2,17,24,92,36
2,18,24,26,4
2,19,20,91,87
2,20,19,57,1
2,21,22,39,51
2,22,18,58,10
2,23,29,31,13
3,0,33,36,41
3,1,32,95,66
3,2,20,18,40
3,3,33,8,51
3,4,4,75,7
3,5,24,60,51
3,6,10,18,83
3,7,16,14,59
3,8,-3,90,98
3,9,15,8,72
3,10,28,1,51
3,11,-5,62,7
3,12,3,28,91
3,13,4,69,55
3,14,15,48,28
3,15,-10,75,42
3,16,11,55,12
3,17,36,53,13
3,18,9,71,72
3,19,18,41,61
3,20,3,66,29
3,21,37,49,70
3,22,6,90,4
3,23,35,59,32
4,0,25,100,39
4,1,-7,39,32
4,2,-9,64,63
4,3,34,17,55
4,4,39,37,56
4,5,15,55,62
4,6,1,8,32
4,7,40,100,38
4,8,3,45,60
4,9,10,5,90
4,10,19,68,27
4,11,8,48,16
4,12,34,47,17
4,13,18,67,53
4,14,-2,59,99
4,15,37,95,87
4,16,7,96,59
4,17,8,89,70
4,18,10,53,78
4,19,23,61,51
4,20,15,35,39
4,21,30,97,38
4,22,-9,50,76
4,23,-4,25,82
5,0,-2,37,3
5,1,-2,29,66
5,2,-8,59,6
5,3,28,50,65
5,4,14,10,85
5,5,-8,0,6
5,6,18,26,21
5,7,20,95,18
5,8,3,39,22
5,9,-7,87,50
